,review_id,star_rating,helpful_votes,total_votes
102692,R3MYFPQS43VI4U,1,0,1
64718,R2X6C7MF5UNVHR,5,0,0
141753,R1J2NC0YUY1Y43,3,26,26
93674,R26ZROGA3BXGD8,5,0,0
35588,R3I12FCDIY4YBT,5,0,1
54293,R2E55GSF4GD7ZI,5,0,0
71664,R1U3SW7MFTWNY7,5,1,1
105105,R11B5NUL1Y5PD7,4,0,3
90154,R3DZ52E9FZO1V9,1,0,0
43086,RKBTJ69JQKYTP,5,0,0
74505,RZP0EJFXJRWS4,5,0,0
18254,R2XM3IX31B6ZCA,4,0,0
57003,R1VIZCUT3CJX6M,5,0,0
74195,R1TRK3VW1PSRIS,2,4,4
79776,R32PNUCLPPPLY7,5,0,0
66788,R36VNN7H6Y597C,1,17,17
17796,RBVFYMZVC7E7H,5,0,0
65441,R1G9W34K9J6GD9,1,8,25
92817,R2FMZH05YHNJSH,5,1,1
91587,R484UNBYWBYKD,1,1,2
74399,R23WYQQ34RFQXC,3,0,0
101953,RMO5F3OIVRTV7,5,0,0
117506,R2O12V408PZU7N,5,1,3
127556,R15TZKEIAQHYMX,3,1,4
3360,RX7B2UBH6YONF,5,0,0
42805,R2GFL9UQXN3B6Z,5,0,0
22970,R3JROQAH22L01I,5,0,0
36402,RA3Y1L4JF2VLA,5,0,0
66125,RESS0RGGMABY2,3,1,1
27464,R2S9JIXV07NO01,5,0,0
87157,R2RNPKCP2CZ5US,5,0,0
9377,R5I5MOGX7FLB8,5,0,0
97727,R1VJG4HNXCXPJD,5,0,0
68874,RTFIOORXF6JRV,5,0,0
136127,R8MQTE8XYMY9D,3,0,0
8493,R2TGJKKX6KO0NW,4,0,0
68150,R2U1AB2YQ4OZSY,5,0,0
12110,R107U3DTMQDOC9,3,0,1
7127,R19YXN8JXUVJC4,5,0,0
34057,R1E05A7YRT76WW,5,0,1
103382,RD6XGZZMTL3EH,5,2,4
45205,R3HCBQUU55VR73,3,0,0
10332,R1EW92B0MG779F,5,0,0
92477,RZGIJVP1A8ZEJ,5,2,3
21820,R2SQGVV77LFKQN,5,0,0
23967,R1WSSJ8B3LO3PF,5,0,0
95135,R3PZ9K7X4VPEK1,3,0,0
43817,R1UMADELETFZXT,1,0,7
2828,R3TJZJOEWU4VDE,5,0,0
80952,R2YT8HRU78BNYQ,5,1,1
41235,RRRYGNTWBYYAC,2,3,6
24556,R2M4RSPQOCONFG,1,1,1
15058,R1ZKJUAY8XBHXX,4,2,3
126392,R2OFMT4YTS20FT,1,2,6
25772,R19R8D16CKTU1V,1,3,4
72754,R1YM90IZ5ED638,5,0,0
19378,R1I39NB2J7WYKH,3,0,0
81741,R9JTVF6FN7AE9,2,0,0
15502,R39OFBDS1TWSWZ,3,0,1
30283,R33GPXRH12S2U,5,0,0
44855,RWIF7KC2O4NXL,2,0,0
35121,R1WJZB6S0XM5Y2,5,0,0
65281,RB9W9NIAE7LQK,5,0,0
24830,R3M9WR1VK74KT6,1,1,6
30289,R2U1FG2RRF8B7T,1,9,10
13652,R1KF76235NWTHQ,2,3,3
77939,R280MLOE59LGO3,5,1,1
69637,RZOZ90ZZOEM7H,5,0,0
91030,R30JYMRLOWSA7O,4,0,0
96402,RZRAKBZV8JI0U,1,0,2
80159,R1QPTFU8KV5S9V,5,0,0
131392,R24ADR7IVG6DTS,5,0,0
13725,R3MCNUGT1EUO6H,1,0,0
2641,RAL08RUB2XL1O,1,0,0
114035,R15M59V4C33W84,5,0,0
36652,R2J3J5BO634ECD,4,5,5
43760,R2F547M853RHNH,3,0,0
105480,R2QX7JGJKRFM0E,3,0,0
6861,R1QDQ5HOV9I7A7,5,0,0
105653,R2A3MCEUYQJW5M,5,0,0
32705,R7IWLETVPP1FQ,1,0,1
51529,R2QLRM03FHF3OZ,4,0,0
50762,R1PJZSB5RGKV03,5,0,0
68710,R151DOEVU09ZW6,5,1,2
69429,R1OUL2MGZ10FG2,5,0,0
97743,R13TAC2NM0CJBM,1,1,1
1230,R3LEB1FOOILWFQ,5,0,0
98673,R3D24XIETWGK1G,5,0,0
9951,R3LLGIEZ4O6LLN,5,0,0
17328,R2D7W47KEKTDZ6,5,0,0
108008,R39OP61F5JP92O,4,0,0
25960,R2P7JRI75BOPNT,4,0,0
7124,R1DWIKAKF1IWNR,5,0,0
97378,R154I1ER2790EF,3,6,6
71087,R18RLXWKKZ3PQJ,5,0,0
59298,RO1GF5XE6W5BG,5,0,0
77114,R35TZ2LHQSBI0V,5,0,0
5046,R8L9BIUOB9LQI,5,0,0
58397,RBUET7SLL85BW,5,1,1
4006,R2P0Q0ADMEPCVV,2,1,16
121539,R1CHIC0Q6GSDCA,5,0,0
78488,RITEGMUJQ7WUV,2,0,0
69826,R1RBLY1XR8GO0B,5,0,0
93352,R2XXVZGW4RZ5SU,1,4,6
26651,R2YQLGTCEGEBGL,3,0,0
59631,R2JJRM9JFDRTTT,5,0,0
93981,R2CHQYH9MZ13B6,4,0,0
141948,RUUA8XSW163IS,5,13,13
91793,R1G5XDHQFR4T45,5,1,1
29713,R3C6J903RXEWES,4,0,1
19843,R2NIYN6Q3YAL2D,5,0,0
18844,R26JA3XTFOV7UJ,5,0,0
75701,R1T5NR6V6L1NM4,1,8,9
130056,R3QD7UEQ8AO92B,4,0,0
117574,R3JFW4GOZLW59W,5,0,0
138344,R33XVK7HEC4OAI,1,26,29
89540,R18SRP4O2Q8YXV,5,1,2
141110,R1G14VXW9NJY4F,3,6,8
22192,R1YMQBYH91S3P7,4,0,0
26558,REUNUK8GSPY4O,5,1,7
72234,RYPJC9ODILK6S,5,0,0
84963,RP25PF4K5J6BE,5,0,0
62769,R25XDNNCA7HQUW,5,0,0
65830,R3QKJRKX1CT65P,5,0,0
79686,R3TALPKE2PQMFK,5,0,0
67248,R3ROT4RTQNB31H,5,0,0
59996,RLBS2Z8F470Y1,5,0,0
32886,R2VHX8CZQGC0OM,4,0,0
807,R2J64A9SO3A6NI,5,0,1
132757,RTYYD3TS8FIVQ,1,0,2
70955,R1XQW8NQ23KPLY,5,0,0
97355,RP20Q46EQD9MX,5,0,0
108216,R2Y5U5CWZRG41A,5,0,0
63607,R6Z24F47XCGSE,5,0,0
12102,RNCEVMJBM4VR4,2,0,0
44587,R2PADN005NEGJB,5,0,0
60400,RU1DIIB8YKVPB,5,0,1
54257,R89H9S5O745MO,3,2,2
18605,RU2J4PMO1KARQ,5,0,0
61040,R2I67TCP6W7D56,5,0,0
124565,R36DUGIMZ3U84D,5,0,0
35656,R1OIOOE9MZJ4Z,5,0,0
32563,R3M8ZC01KCCS0P,5,0,0
135462,R264SH3MPYLO6T,1,2,15
70784,R18P52S1672MRC,2,0,0
96685,RJ9X8Q8IYMTLR,5,0,0
42165,R4NTKI9R922G4,5,0,0
40880,R1GLL9RVECIRCW,2,0,0
61630,R1J845FGNLXA,4,0,0
24726,RTYPJ88MP4EI7,5,0,0
13929,R1VKA6RWZAXUWI,5,0,0
21056,RJNSB20ZYBWWK,5,0,0
47206,R2SOB58AX689J2,3,0,0
35689,R1A33VRJLY23YI,5,0,0
77489,RBW7WGRBF530,1,3,3
78418,R1SZUO50TUG7LY,5,0,0
71746,R2VOGKNCMCLFO,4,0,0
98506,R2WR4PP8GB8O8N,4,0,0
96184,R2R2H12H2Y6SEO,4,0,0
89721,R38ZC0XO4ZHG9,5,0,0
116519,R1T8UCCFWSR01X,5,0,1
21182,RH08BOHGZXUGL,5,0,1
