,product_id,product_parent,product_title,category_id
0,B00AKIVBU0,60268096,HDE 128MB (2043 Blocks) White Memory Card for Nintendo GameCube or Wii,0
1,B002VBWIP6,232803743,Xbox Live Subscription,1
2,B00005N9A7,850382676,Age of Empires 2 Gold,0
3,B000096L71,189938694,Microsoft Flight Simulator 2004: A Century of Flight - PC,0
4,B007Z0O9NC,101806548,"Everydaysource Compatible With SONY PSP 2000 / 3000 Battery Door Set [Slim, Extended] , Black",0
5,B000CS1GR6,601695181,Big Kahuna Reef: A Wave of Underwater Puzzle Action - PC/Mac,0
6,B005EZ5GQY,85216056,Sniper Elite 2,0
7,B00O9GPAU6,86884859,Fox amiibo - Japan Import (Super Smash Bros Series),0
8,B005J5K9EI,192956798,Lollipop Chainsaw,0
9,B000TI836G,215421317,Medal of Honor,0
10,B006SVUQNQ,523228689,Black 250GB 250 GB Hard Drive Disk HDD for Xbox 360 SLIM,0
11,B003PDMNCC,978035146,Quicken Essentials for Mac,2
12,B00IB8IGZY,584852942,"BitFenix BFA-ACL-30BK15-RP 30cm 15 LEDs Alchemy LED Connect Lit Strip, Blue - PC/Mac/Linux",0
13,B004YV9TSA,513262114,"Gen Hard Disk Drive Case Enclosure for Xbox 360 Slim Hard Drive (Enclosure Only, Hard Drive NOT Included)",0
14,B00ARMQ7VM,905494419,Tomee Charge Cable for Wii U GamePad,0
15,B000035Y6U,706186693,Breath of Fire II,0
16,B007YZ5QOO,822552825,Pro Evolution Soccer 2013,0
17,B00005NZ1L,117925337,Azurik: Rise of Perathia,0
18,B006Z2KFP2,234468766,"Insten Crystal Shell Compatible With Microsoft Xbox 360 Wireless Controller , Clear",0
19,B004N3FGHC,236864064,Remote Control Wireless Controller For Nintendo WII NIB,0
20,B00337KBUQ,637461557,How to Train Your Dragon,0
21,B00004WI4B,150558859,Startopia - PC,0
22,B00H89IBFM,834917369,Xbox Live 24 Month Gold Membership - Xbox 360 Digital Code,1
23,B0050SX9I2,552446825,Sony PS3 Media/Blu-ray Disc Remote Control,0
24,B006NYWMEY,233086051,F1 2011,0
25,B001TOMQOY,430428963,Army of Two: The 40th Day,0
26,B000XZBUIS,396944084,Variation - Rock Band Drumstick,0
27,B00EQNP8F4,232803743,Xbox Live Subscription,0
28,B0053OOEAA,350297849,Uncharted 3: Drake's Deception,0
29,B009EWHKAI,667392107,Monster Hunter 3 Ultimate,0
30,B000TG72PG,982889489,The Elder Scrolls IV: Oblivion - Game of the Year Edition,0
31,B00GN4IH3O,557992312,"Generic Anti-Slip Silicone Skin Protector Cover for Wireless Game Controller, Red - PlayStation 4",0
32,B0000D12XH,686182778,Railroad Tycoon 3,0
33,B00004YRQ9,722493574,PlayStation 2 Dualshock Controller Black,0
34,B00GU043AW,896939288,Age of Empires II  HD: The Forgotten [Online Game Code],1
35,B000FDOU9E,285187577,Lego Star Wars II: The Original Trilogy,0
36,B00RI85PDO,969971367,Soulbrain II - Ruins [Download],1
37,B00006YZ8K,930569592,Minority Report - PlayStation 2,0
38,B00KI2OZ9M,141939044,Pokmon Omega Ruby,0
39,B002YGS4EC,311316852,FLOCK! [Online Game Code],1
40,B00CAUTK0E,878367259,Gunnar Optiks Intercept Full Rim Advanced Video Gaming Glasses with Amber Lens Tint,0
41,B004RMK4BC,384246568,Playstation Network Card,1
42,B00005NHSC,90528849,Tetris Worlds,0
43,B00EV00MZ8,935858104,Plantronics RIG Stereo Gaming Headset with Mixer for Xbox 360 and PS3 - Retail Packaging,0
44,B006ZPAYMI,830566925,Kinect Rush: A Disney Pixar Adventure - Xbox 360,0
45,B000CRSBLG,141782340,Fight Night Round 3,0
46,B00PDRZCNU,840462944,DYNASTY WARRIORS 8 Empires,0
47,B005JQ05RS,846923508,Dungeons and Dragons Neverwinter Nights: The Complete Collection,0
48,B007XXEG5C,622527631,Madden NFL 08 [Download],1
49,B002I0JFCO,553149599,EA Sports Active 2,0
50,B000P46NMA,795947688,Assassin's Creed,0
51,B0055NBPYM,400589427,Kung Fu High Impact,0
52,B000NKPE3K,630746565,Remote Control Skin - Nintendo Wii,0
53,B00917DBUE,714336136,Dark Souls: Prepare To Die Edition [Online Game Code],1
54,B000B6ML32,796931974,Xbox 360 20GB Hard Drive,0
55,B003ZWB7FC,955018602,Zettaguard Dual Charging Station - White - Nintendo Wii,0
56,B00001ZWMV,141083716,Legacy of Kain: Soul Reaver,0
57,B000063SAU,130028110,Medieval: Total War - PC,0
58,B000021XYT,557350392,Nyko Universal Power Cord - PlayStation,0
59,B00EM5UFF4,246340720,Plants vs. Zombies Garden Warfare,0
60,B0029LJIFG,756800866,Xbox LIVE 12 Month Gold Membership Card,0
61,B008E6ZXA4,414834233,Doom 3 BFG Edition,0
62,B00008VU6X,807139397,Buffy the Vampire Slayer: Wrath of the Darkhul King,0
63,B00009M97K,766728322,Elder Scrolls 3 Morrowind Expansion Pack: Bloodmoon - PC,0
64,B003KZJA9Y,483192118,FIFA Soccer 11,0
65,B00G9AYVTG,168852477,PlayStation Vita -  Walking Dead Bundle,0
66,B004CDUOJ8,522083133,Madden NFL Football 3DS,0
67,B00AXI9WFS,237701427,DISNEY INFINITY Starter Pack,0
68,B00002SANU,609554437,Starship Titanic with Strategy Guide - PC,0
69,B000V1OUQS,180760006,Rockstar Presents Table Tennis - Nintendo Wii,0
70,B00HC6A8T8,730101483,DISNEY INFINITY Figure,0
71,B00A42M22S,472214451,H&R Block At Home Premium + State 2012,2
72,B00NG7JVSQ,811978073,TurboTax Deluxe Fed + Efile + State,2
73,B00A7VK16A,962206337,GAEMS G155 Sentry Personal Gaming Environment,0
74,B005IHDLYW,558291004,Tropico 4,1
75,B003KMCHTC,507432554,The Sims 3 Console,0
76,B0050SXI6K,892605672,Ratchet & Clank Vita Bundle,0
77,B001PKUDO2,416006934,Tales of The World: Radiant Mythology 2 [Japan Import],0
78,B000F6BGXY,303536965,Trenro Dual PlayStation/PlayStation 2 to PC USB Controller Adapter,0
79,B002I0GXWO,110123905,Dissidia 012 [duodecim] Final Fantasy - Sony PSP,0
80,B001HB7K6I,313559074,Muramasa: The Demon Blade - Nintendo Wii,0
81,B000HGMH12,933916701,Enchanted Arms,0
82,B000NJH6ZA,71147857,Alien Syndrome,0
83,B00H3HGMQE,466520537,Donop Premium Wireless Bluetooth Controller For Sony PS3 (Gold),0
84,B00GAC1D2G,384246568,Playstation Network Card,1
85,B002BSA20M,466312736,Halo Reach,0
86,B005EQE0YM,911564750,Turtle Beach Ear Force X12 Arctic Amplified Stereo Gaming Headset - Xbox 360,0
87,B00004Y2MO,255858041,Bass Avenger - PC/Mac,0
88,B0045F8QD4,81612883,Wii Hardware Bundle,0
89,B00004W4S1,953245099,Madden NFL 2001,0
90,B00A8AUU5M,289049901,Insten AV Composite Cable Compatible With Nintendo Wii U,0
91,B00006JZDV,712015612,Medal of Honor Frontline - Gamecube,0
92,B00HVOOB6M,909517255,InSassy AC Adapter Power Supply Brick for xBox 360 Slim - Auto Voltage 100-240V 2A 47-63Hz,0
93,B00MNP9PD8,90173389,Turtle Beach - Ear Force Stealth 500P Premium Fully Wireless Gaming Headset - DTS Headphone:X 7.1 Surround Sound - PS4,0
94,B000X2FTMY,393327786,Final Fantasy XI: The Vana'diel Collection 2008,0
95,B003VM8HFE,806586648,Dragon Age 2,0
96,B006VE44A6,289892480,HORI PS Vita Game Case 12,0
97,B002BXKJ6O,959269969,Fallout 3: Game of The Year Edition,0
